[INFO ] [2022-01-17 00:06:44,728] Pre-Condition - STEP 01: Open browser 'firefox' and  navigate to 'https://www.facebook.com/reg/' 
[INFO ] [2022-01-17 00:06:53,835] User_01_Register - Step 01: Click to register link
[INFO ] [2022-01-17 00:07:34,493] User_02_Login - Step 1: Click to Login link
[INFO ] [2022-01-17 00:07:41,990] Post-Condition - STEP 01: Close browser
[INFO ] [2022-01-17 00:09:06,689] Pre-Condition - STEP 01: Open browser 'firefox' and  navigate to 'https://demo.nopcommerce.com/' 
[INFO ] [2022-01-17 00:09:13,937] User_01_Register - Step 01: Click to register link
[INFO ] [2022-01-17 00:09:15,479] User_01_Register - Step 02: Enter to First Name textbox with value automation
[INFO ] [2022-01-17 00:09:15,575] User_01_Register - Step 03: Enter to Last Name textbox with valuefc
[INFO ] [2022-01-17 00:09:15,624] User_01_Register - Step 04: Enter to Email textbox with valueauto6458@mail.vn
[INFO ] [2022-01-17 00:09:15,678] User_01_Register - Step 05: Enter to Password textbox with value 123456
[INFO ] [2022-01-17 00:09:15,729] User_01_Register - Step 06: Enter to Confirm Password textbox with value 123456
[INFO ] [2022-01-17 00:09:15,783] User_01_Register - Step 07: Click to Register button
[INFO ] [2022-01-17 00:09:18,064] User_01_Register - Step 08: Verify success message displayed
[INFO ] [2022-01-17 00:09:18,110]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-01-17 00:09:18,110] User_01_Register - Step 09: Click to Logout link
[INFO ] [2022-01-17 00:09:19,634] User_02_Login - Step 1: Click to Login link
[INFO ] [2022-01-17 00:09:20,100] User_02_Login - Step 2: Enter to Email textbox with valueauto6458@mail.vn
[INFO ] [2022-01-17 00:09:20,162] User_02_Login - Step 3: Enter to Password textbox with value 123456
[INFO ] [2022-01-17 00:09:20,205] User_02_Login - Step 4: Click to Login Button
[INFO ] [2022-01-17 00:09:21,006] User_02_Login - Step 5: Verify My Account link is displayed
[INFO ] [2022-01-17 00:09:21,060]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-01-17 00:09:21,061] Post-Condition - STEP 01: Close browser
[INFO ] [2022-01-17 00:10:31,204] Pre-Condition - STEP 01: Open browser 'chrome' and  navigate to 'https://demo.nopcommerce.com/' 
[INFO ] [2022-01-17 00:10:35,497] User_01_Register - Step 01: Click to register link
[INFO ] [2022-01-17 00:10:37,047] User_01_Register - Step 02: Enter to First Name textbox with value automation
[INFO ] [2022-01-17 00:10:37,201] User_01_Register - Step 03: Enter to Last Name textbox with valuefc
[INFO ] [2022-01-17 00:10:37,327] User_01_Register - Step 04: Enter to Email textbox with valueauto2154@mail.vn
[INFO ] [2022-01-17 00:10:37,465] User_01_Register - Step 05: Enter to Password textbox with value 123456
[INFO ] [2022-01-17 00:10:37,589] User_01_Register - Step 06: Enter to Confirm Password textbox with value 123456
[INFO ] [2022-01-17 00:10:37,717] User_01_Register - Step 07: Click to Register button
